time_s,ecg
0.9970000000000001,65.78826250867618
0.9980000000000001,66.46447879794769
0.9990000000000001,67.12390642641301
1.0,67.76505378814085
1.001,68.38981298250512
1.002,68.99491494123802
1.003,69.56625079256291
1.004,70.0903710999192
1.005,70.56009011432451
1.006,70.9709396534039
1.007,71.31597005338173
1.008,71.59179171597289
1.009,71.80485825286519
1.01,71.96391466079726
1.011,72.07632907804211
1.012,72.15091354101673
1.013,72.19904505547215
1.014,72.2284037625821
1.015,72.2430710416053
1.016,72.24721240146786
1.017,72.24475547681237
1.018,72.23909835848238
1.019,72.23339237599365
1.02,72.22953793792591
1.021,72.22794953780298
1.022,72.22788768478034
1.023,72.2280006834513
1.024,72.22784442746034
1.025,72.22818546674333
1.026,72.23070100310888
1.027,72.23720729185581
1.028,72.24789547319365
1.029,72.26133759231921
1.03,72.2758742722122
1.031,72.28929054765183
1.032,72.29861755411537
1.033,72.30309013764688
1.034,72.30353110964549
1.035,72.30110267339809
1.036,72.29879166406441
1.037,72.3002193313374
1.038,72.30729589316017
1.039,72.3214373148825
1.04,72.34470494906738
1.041,72.37514467871762
1.042,72.40859072404537
1.043,72.4420036547848
1.044,72.4739019063368
1.045,72.50268596004985
1.046,72.52462101541869
1.047,72.53671180375918
1.048,72.53791639691389
1.049,72.5301630549982
1.05,72.51701118023857
1.051,72.50254861715597
1.052,72.49120034219959
1.053,72.48535413387536
1.054,72.48474569568089
1.055,72.48778617327888
1.056,72.49266537242363
1.057,72.49813393553775
1.058,72.50498918662183
1.059,72.51527813298253
1.06,72.53042845786673
1.061,72.55221664225787
1.062,72.58415804000711
1.063,72.62860340976086
1.064,72.68449391741984
1.065,72.75057667864742
1.066,72.82490653988765
1.067,72.90246390600352
1.068,72.97974090934663
1.069,73.05935436288928
1.07,73.14622203440943
1.071,73.24541404935003
1.072,73.36385985825312
1.073,73.50485248745775
1.074,73.65668535077204
1.075,73.78891676695193
1.076,73.86123171592232
1.077,73.83030487470637
1.078,73.65639795739995
1.079,73.31366540426257
1.08,72.79385443274043
1.081,72.10762837572886
1.082,71.28303020565158
1.083,70.36542192740231
1.084,69.40973037592202
1.085,68.4634047634656
1.086,67.56532851325584
1.087,66.75436434078561
1.088,66.06847722561454
1.089,65.53569356203671
1.09,65.16407800937984
1.091,64.94663694369667
1.092,64.86383302180629
1.093,64.8733472291768
1.094,64.91749024982134
