beat_index,peak_sample,peak_time_s,peak_value,rr_prev_s,rr_next_s,rr_baseline_s,prematurity_index,compensatory_pause_index,qrs_width_ms,qrs_peak_to_peak,qrs_area_abs,qrs_max_slope,template_corr,is_extrasystole_candidate
83,37900,37.9,-135.6626440861194,0.3200000000000003,0.46999999999999886,0.4229999999999947,0.756501182033107,1.1111111111111223,24.999999999986144,308.52969612791196,5.8434766256698545,21495.91897032746,0.7352569625127906,0
84,38370,38.37,-9.745399466646859,0.46999999999999886,0.4239999999999995,0.4229999999999947,1.1111111111111223,1.0023640661938646,24.999999999986144,10.265953126294521,0.29713718800719524,811.3319504814982,0.21088928165434395,0
85,38794,38.794,-141.80843580457432,0.4239999999999995,0.4310000000000045,0.4229999999999947,1.0023640661938646,1.0189125295508508,23.9999999999867,316.32809127529515,5.764859474680947,22291.13242851397,0.719825899146085,0
86,39225,39.225,-210.3589671009558,0.4310000000000045,0.39399999999999835,0.4229999999999947,1.0189125295508508,0.9314420803782584,152.99999999991522,258.5320965227423,7.919045959872833,10321.19556721289,0.5725589960436648,0
87,39619,39.619,-56.50691191126577,0.39399999999999835,0.3620000000000019,0.4229999999999947,0.9314420803782584,0.855791962174956,184.99999999989748,38.69315650148813,0.7867468717919752,1154.998803179258,0.5043651502748773,0
88,39981,39.981,-15.861912314950214,0.3620000000000019,0.5409999999999968,0.4229999999999947,0.855791962174956,1.2789598108747129,125.99999999993017,15.23785149328712,0.46855622268414077,877.2752686640816,0.4165713208263696,0
89,40522,40.522,-141.73215917456963,0.5409999999999968,0.6000000000000014,0.4229999999999947,1.2789598108747129,1.4184397163120779,38.999999999978385,309.23090739659125,6.176725796438486,21095.81649204708,0.7428668375728117,0
90,41122,41.122,-11.749828055844603,0.6000000000000014,0.2909999999999968,0.4229999999999947,1.4184397163120779,0.6879432624113486,205.99999999988583,14.78342137109393,0.4430186387701468,1170.3657860639523,0.019985545038092887,0
91,41413,41.413,-143.71347622260487,0.2909999999999968,0.47800000000000153,0.4229999999999947,0.6879432624113486,1.1300236406619564,23.9999999999867,316.01867830747597,5.869334470551508,22286.696871216936,0.7441795308285017,0
92,41891,41.891,-9.218494768652546,0.47800000000000153,0.4230000000000018,0.4229999999999947,1.1300236406619564,1.0000000000000169,146.99999999991854,17.54138259654465,0.46045175031779617,991.0317972319137,0.18777117819812555,0
93,42314,42.314,-146.57844967506495,0.4230000000000018,0.5069999999999979,0.4229999999999947,1.0000000000000169,1.198581560283698,24.999999999986144,306.17205828709575,5.785543071846991,21359.063369528027,0.7678653840516403,0
94,42821,42.821,-11.86016022284348,0.5069999999999979,0.4160000000000039,0.4229999999999947,1.198581560283698,0.9834515366430475,169.99999999990578,15.900043412697034,0.5105398209341339,802.6116103270436,0.15134447359542685,0
95,43237,43.237,-130.7211213876761,0.4160000000000039,0.4229999999999947,0.4229999999999947,0.9834515366430475,1.0,38.999999999978385,276.81508632620637,5.42768817455715,19095.824961193368,0.7497639007558223,0
96,43660,43.66,-192.51817023873937,0.4229999999999947,0.3760000000000048,0.4229999999999947,1.0,0.8888888888889113,151.99999999991576,252.8808726354316,7.736849535036149,10305.554554963563,0.5560797213177925,0
97,44036,44.036,-55.27646019926283,0.3760000000000048,0.6749999999999972,0.4229999999999947,0.8888888888889113,1.5957446808510771,200.99999999988862,41.216469354730954,1.0774578067524252,1138.707339187358,0.5224678693829702,0
98,44711,44.711,-10.46020207178437,0.6749999999999972,0.3100000000000023,0.4229999999999947,1.5957446808510771,0.7328605200945771,34.9999999999806,18.281466319287833,0.41106312339227996,948.4203167490939,0.0641670999629204,0
99,45021,45.021,-152.75686315337086,0.3100000000000023,0.4239999999999995,0.4229999999999947,0.7328605200945771,1.0023640661938646,24.999999999986144,345.17742554477786,6.373780040209297,23883.505652213422,0.7081948560127826,0
100,45445,45.445,2.2667707594834816,0.4239999999999995,0.5349999999999966,0.4229999999999947,1.0023640661938646,1.2647754137115916,105.99999999994125,14.260504011618249,0.5094060390251443,788.1441417703579,-0.03439450137901771,0
